time;T_C;W_raw_kg
2026-08-11T11:53:11Z;33.0;21.91
2026-08-11T11:57:27Z;32.5;21.89
2026-08-11T12:01:44Z;33.0;21.89
2026-08-11T12:06:00Z;33.5;21.9
2026-08-11T12:10:17Z;33.0;21.89
2026-08-11T12:14:33Z;33.5;21.89
2026-08-11T12:18:50Z;33.5;21.91
2026-08-11T12:23:06Z;34.0;21.9
2026-08-11T12:27:22Z;34.0;21.89
2026-08-11T12:31:39Z;33.5;21.89
2026-08-11T12:35:55Z;33.5;21.89
2026-08-11T12:40:12Z;33.5;21.88
2026-08-11T12:44:28Z;33.5;21.89
2026-08-11T12:48:45Z;33.5;21.9
2026-08-11T12:53:01Z;33.5;21.9
2026-08-11T12:57:17Z;33.5;21.88
2026-08-11T13:01:34Z;33.0;21.89
2026-08-11T13:05:50Z;33.5;21.9
2026-08-11T13:10:07Z;33.5;21.9
2026-08-11T13:14:23Z;33.5;21.89
2026-08-11T13:18:40Z;34.0;21.88
2026-08-11T13:22:56Z;33.5;21.88
2026-08-11T13:27:13Z;34.0;21.9
2026-08-11T13:31:29Z;34.0;21.88
2026-08-11T13:35:45Z;33.5;21.9
2026-08-11T13:40:02Z;33.0;21.87
2026-08-11T13:44:18Z;33.5;21.89
2026-08-11T13:48:35Z;33.5;21.88
2026-08-11T13:52:51Z;34.0;21.9
2026-08-11T13:57:08Z;34.0;21.88
2026-08-11T14:01:24Z;34.0;21.87
2026-08-11T14:05:40Z;34.0;21.88
2026-08-11T14:09:57Z;34.0;21.88
2026-08-11T14:14:13Z;34.0;21.88
2026-08-11T14:18:30Z;34.0;21.86
2026-08-11T14:22:46Z;34.0;21.86
2026-08-11T14:27:03Z;34.5;21.87
2026-08-11T14:31:19Z;34.0;21.86
2026-08-11T14:35:36Z;34.0;21.88
2026-08-11T14:39:52Z;33.5;21.88
2026-08-11T14:44:08Z;34.0;21.87
2026-08-11T14:48:25Z;34.0;21.88
2026-08-11T14:52:41Z;34.0;21.89
2026-08-11T14:56:58Z;33.5;21.87
2026-08-11T15:01:14Z;33.5;21.88
2026-08-11T15:05:31Z;34.0;21.86
2026-08-11T15:09:47Z;33.5;21.87
2026-08-11T15:14:03Z;34.0;21.88
2026-08-11T15:18:20Z;34.0;21.89
2026-08-11T15:22:36Z;33.5;21.88
2026-08-11T15:26:53Z;33.0;21.88
2026-08-11T15:31:09Z;33.5;21.89
2026-08-11T15:35:26Z;33.5;21.88
2026-08-11T15:39:42Z;33.5;21.89
2026-08-11T15:43:59Z;33.0;21.9
2026-08-11T15:48:15Z;33.0;21.89
2026-08-11T15:52:31Z;33.5;21.89
2026-08-11T15:56:48Z;32.5;21.91
2026-08-11T16:01:04Z;33.0;21.91
2026-08-11T16:05:21Z;33.5;21.9
2026-08-11T16:09:37Z;32.5;21.9
2026-08-11T16:13:54Z;32.0;21.9
2026-08-11T16:18:10Z;32.5;21.91
2026-08-11T16:22:26Z;32.5;21.88
2026-08-11T16:26:43Z;32.5;21.88
2026-08-11T16:30:59Z;32.5;21.87
2026-08-11T16:35:16Z;32.5;21.9
2026-08-11T16:39:32Z;32.5;21.91
2026-08-11T16:43:49Z;32.0;21.91
2026-08-11T16:48:05Z;32.0;21.9
